





职位名称,薪资,教育水平,经验,地点
数据分析师（编辑方向）,8千-1.1万,硕士,经验不限,北京·海淀·西三旗
数据分析师,6千-1万,本科,经验不限,北京·昌平·沙河
高级数据分析师,1.5万-2万,本科,5-10年,北京·西城·椿树
数据分析师(实习岗）,120-150/天,本科,无经验,北京·海淀街道
数据分析师,1万-1.5万,本科,1-3年,北京·朝阳·双井
畅游项目数据分析师,面议,本科,经验不限,北京·朝阳·东湖
金融数据分析师,1.3万-1.5万,本科,3-5年,北京·东城·和平里
数据分析师,9千-1.8万,大专,5-10年,北京·顺义·空港
资深数据分析师,2万-4万·14薪,本科,5-10年,北京·朝阳·望京
数据分析师,1.2万-1.8万,本科,3-5年,北京·大兴·荣华街道
数据分析师课程/培训招生bj,8千-1.2万,大专,经验不限,北京·朝阳·麦子店
数据分析师,8千-1.4万,本科,1-3年,北京·朝阳·呼家楼
数据分析师,8千-9千,本科,3-5年,北京·海淀·马连洼
供应链数据分析师,2万-3.5万,硕士,5-10年,北京·朝阳·三里屯
风控数据分析师+外包大厂+管午餐,1.5万-2.8万,本科,5-10年,北京·海淀·海淀街道
数据分析师,1.3万-1.9万,本科,1-3年,北京·西城·金融街
数据分析师,1.3万-1.5万,本科,3-5年,北京·东城·和平里
数据分析师,1.5万-3万,硕士,经验不限,北京·昌平·史各庄
数据分析师（医疗行业）(011820),面议,本科,5-10年,北京·朝阳·酒仙桥
数据分析师,1万-1.5万,本科,3-5年,北京·东城·崇文门外
