汽车id,name
9235,五菱星光PHEV
4865,宋PLUS DM-i
4802,秦PLUS DM-i
4363,Model Y
6266,五菱缤果
3504,宋Pro DM-i
5952,海鸥
8830,8830
4499,五菱宏光MINIEV
4228,汉DM-i
3762,Model 3
8796,领克08 EM-P
5248,元PLUS
9113,哈弗猛龙
5217,大众ID.3
8859,8859
4838,宝马i3
9173,荣威D7 DMH
9129,9129
6206,蓝山DHT-PHEV
6173,理想L7
4814,AION Y
5859,长安Lumin
5008,海豚
8858,8858
9128,ZEEKR 007
311,唐DM-i
8979,宋L
5015,ZEEKR 001
5820,问界M7
6261,海豹DM-i
8964,坦克400 Hi4-T
6148,熊猫
6204,蓝电E5
5290,驱逐舰 05
5830,坦克500 Hi4-T
5857,长安欧尚Z6 iDD新能源
4586,ID.4 CROZZ
6271,别克E5
8808,风云A8
6095,理想L8
4300,汉EV
4538,宝马iX3
4540,宋PLUS EV
4899,秦PLUS EV
9118,智己LS6
4272,零跑T03
8895,小鹏G6
5283,领克09 EM-P
5817,吉利几何E萤火虫
3101,AION S
9184,传祺E8 PHEV
4635,欧拉好猫
3352,小鹏P7
5227,理想L9
5092,红旗E-QM5
8795,哈弗枭龙MAX
3359,微蓝6
5579,海豹
4340,领克06 EM-P
5923,长安UNI-V 智电iDD
5872,帝豪L HiP
9346,捷途山海L9
8834,阿维塔 12
5843,腾势D9 DM-i
8884,8884
6365,雅阁 PHEV
4258,ID.4 X
5461,小鹏G9
4334,奥迪Q4 e-tron
5889,瑞虎8 PRO PHEV
6124,哈弗二代大狗PHEV
4980,飞凡R7
5924,岚图梦想家 PHEV
9242,9242
8965,星纪元 ES
3142,迈腾GTE
5847,护卫舰 07
9029,云朵
9187,传祺ES9 PHEV
5257,QQ冰淇淋
6303,高山
6312,哪吒GT
6160,悦也
5308,阿维塔 11
4730,本田CR-V PHEV
9261,9261
5828,MG4 EV
8794,哈弗枭龙
9312,哪吒X
6294,小鹏X9
1101,小蚂蚁
9167,岚图追光 PHEV
4981,元Pro
6208,奔驰EQE SUV
4561,MG Cyberster
2843,蔚来ES6
5813,奔驰EQE
6336,启辰大V DD-i超混动
9224,宝马i5
2989,帕萨特PHEV
3077,唐EV
6273,长安CS75 PLUS 智电iDD
5216,长安UNI-K 智电iDD
6087,传祺E9 PHEV
9208,哪吒AYA
6137,飞凡F7
8897,8897
6363,极狐 阿尔法T5
3001,途观L PHEV
6126,丰田bZ3
5802,风行雷霆
9237,起亚EV5
5322,smart精灵#1
5053,欧拉闪电猫
5895,ARIYA 艾睿雅
9126,蔚来ET5T
6317,奇瑞舒享家
5002,奥迪Q5 e-tron
4839,皓影 PHEV
4867,摩卡DHT-PHEV
5997,睿蓝7
3455,比亚迪e2
9345,昊铂HT
4416,奔奔E-Star
8896,英仕派 PHEV
5358,IQ锐歌
9349,9349
6311,昊铂GT
3932,奔驰EQB
4961,ID.6 CROZZ
6076,瑞虎7 PLUS PHEV
5503,哈弗H6新能源
1729,奔驰EQA
2887,宋MAX DM-i
4426,AION V
4629,哪吒V
6298,iCAR 03
3710,CLEVER
3157,吉利几何A
3131,探岳GTE
8946,ID.7 VIZZION
5409,蔚来ET5
6235,仰望U8
6080,吉利几何G6
4385,极狐 阿尔法T
147,宝马5系PHEV
6086,星越L 增程电动版
8942,宝马iX1
4637,极狐 阿尔法S
4894,ID.6 X
6328,启辰VX6
5004,小鹏P5
1792,沃尔沃XC60 RECHARGE
9125,荣威D7 EV
2716,奔驰E级PHEV
3275,哪吒U
6253,ZEEKR X
4211,宝马i4
9131,9131
5967,极越01
2937,沃尔沃S90 RECHARGE
4869,智己LS7
5297,欧拉芭蕾猫
1616,蔚来ES8
6356,极狐考拉
5968,5968
4306,赛博越野旅行车
9635,猎手
1707,奥迪A6L PHEV
6272,smart精灵#3
5878,ZEEKR 009
3663,Taycan
5387,本田e:NS1
4146,红旗E-HS9
5842,腾势D9 EV
9132,9132
3023,宝马iX
6360,腾势N7
4668,奔驰EQS
6362,别克E4
5567,星途追风 C-DM
5472,合创V09
1183,荣威eRX5
4296,宝马i7
1820,秦EV
5335,拿铁DHT-PHEV
3719,奔驰EQC
4890,福特电马
9225,智界S7
4585,东风本田M-NV
4125,4125
4543,奥迪e-tron
5860,一汽丰田bZ4X
5001,瑞虎8 PLUS鲲鹏e+
5832,Polestar 4
2883,领克01 PHEV
1255,Model X
9262,沃尔沃EM90
4320,五菱荣光EV
4329,RAV4荣放双擎E+
3337,奥迪Q2L e-tron
8802,高合HiPhi Y
1280,沃尔沃S60 RECHARGE
5269,欧拉好猫GT
1254,Model S
6346,仰望U9
6308,云兔
5392,e:NP1 极湃1
1276,沃尔沃XC90 RECHARGE
5896,五菱Air ev晴空
8898,腾势N8 DM
5431,高合HiPhi Z
2819,小鹏G3
4924,沃尔沃C40 RECHARGE
4738,沃尔沃XC40 RECHARGE
5093,宝骏KiWi EV
4156,领克05 EM-P
6081,吉利几何M6
4380,吉利几何C
4076,比亚迪e3
9234,五菱星光EV
5805,奔驰EQS SUV
6224,蔚来EC7
229,奔驰GLE PHEV
4081,雪佛兰畅巡
3096,广汽本田VE-1
4813,威兰达高性能版
4074,北京EU5
5570,广汽丰田bZ4X
